,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
11,qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,4074.12,4074.45,4097.3,3866.31,4387.17,4363.32,3825.89,4384.0,4433.4,4066.75,2762.94,2752.1,2751.39,2751.49,2751.39,2750.59,2749.7,2748.98,2748.27,2747.03,2748.16,2748.16,2747.62,2747.74,2750.33,2751.94,2753.6,2752.34,2752.83,2750.38,2749.59,2747.43,2748.06,2749.55,2750.1,2751.63,2753.39,2754.1,2753.83,2755.89,2754.59,2754.69,2753.84,2755.26,2751.37,2751.73,2750.98,2750.08,2749.63,2749.7,3032.502600000001,331778.59639514284
12,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,4598.57,4823.01,4721.92,4650.97,4942.5,4982.5,5080.51,4970.23,5019.11,4683.43,3521.42,3441.36,3836.16,3941.73,3667.59,2952.25,3750.71,3289.66,4051.61,3375.65,3847.81,3621.55,3699.33,3804.66,3549.38,3623.47,3693.51,3458.22,3399.53,3774.72,3586.81,3682.23,3369.42,3898.01,3797.44,3353.27,3761.43,4690.25,3761.33,3430.81,3785.97,3795.45,5061.17,3420.76,3379.43,3336.59,3819.08,3443.38,3831.24,3489.13,3909.3254,332138.9625763673
13,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,5252.01,5311.11,5412.7,5402.75,5264.83,5501.52,5327.48,5416.68,5184.82,5191.53,4421.49,4130.46,4460.29,4136.23,4209.87,4002.46,4273.28,3798.8,4247.89,4243.69,3916.21,5724.66,4555.92,4147.83,4281.64,4283.43,4425.47,4120.03,4794.79,4481.39,3948.16,4472.07,3693.79,4221.23,4083.83,4955.92,3803.72,4597.33,3506.85,4608.21,4375.34,3810.41,4854.21,4254.98,4198.65,4136.26,3884.19,4059.69,3846.33,3872.0,4462.088600000001,319200.20091840817
14,qdd-ifort-linux-FFTW-OMP-noStatic-Debug,5084.43,5307.65,5821.27,5312.75,5338.66,5332.75,5215.24,5286.19,5334.42,5279.92,4306.84,4449.41,4227.45,4201.59,4930.36,3936.86,4466.85,4511.74,3816.28,4057.49,4640.1,4196.94,4399.07,4385.73,4369.99,4191.72,4861.99,3779.76,4219.57,3620.93,5054.53,4773.1,4203.64,4090.59,4151.65,4270.51,4041.55,4138.17,4479.95,4184.46,4266.7,4136.9,3865.5,4874.82,4165.13,4271.35,4196.49,4333.17,4339.56,4492.44,4504.283200000002,257965.55186710204
15,qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,6669.58,5081.44,5361.34,5475.55,5416.11,5428.46,5423.91,5700.3,5426.89,5435.44,4360.01,4406.46,3931.13,4278.84,4306.03,4471.43,4221.32,4606.5,4653.79,3811.25,4184.34,4614.01,5649.46,4559.27,4331.06,4226.36,4258.48,4105.3,4155.51,5192.98,3917.98,5054.15,4425.94,4183.21,4282.0,4260.02,4249.06,3931.12,4777.94,3867.96,4912.98,3768.84,5001.77,4049.17,4614.75,4143.47,5058.28,3894.58,4959.14,3602.5,4613.9482,406420.6821334285
16,qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,4322.65,4228.91,4181.17,4285.74,4337.17,4333.39,4192.18,4146.26,4210.94,4334.68,2736.66,2754.78,2755.52,2751.82,2748.12,2747.13,2747.16,2747.48,2747.9,2761.28,2748.36,2751.37,2751.29,2751.57,2754.04,2753.28,2752.9,2752.09,2751.27,2752.23,3561.28,3574.86,3595.52,3566.13,3562.54,3559.91,3552.29,3534.81,3558.57,3556.19,3554.22,3603.63,3576.32,3558.33,3594.11,3563.33,3595.34,3556.22,3538.86,3604.89,3379.1337999999987,334301.9187832244
17,qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,4536.99,4409.93,4353.12,4155.96,4445.39,4462.53,4458.71,4458.92,4449.31,4391.23,2751.65,2750.66,2749.37,2749.36,2747.86,2748.33,2748.86,2749.05,2749.71,2748.56,2749.21,2751.31,2751.72,2755.41,2752.54,2752.0,2752.32,2751.31,2750.73,2751.93,3607.6,2795.79,3599.35,3609.35,3595.3,3612.39,3596.22,3592.03,3598.76,2755.3,2751.25,2750.27,2752.52,2753.25,2754.57,2753.27,2753.1,2755.26,2755.08,2753.15,3220.5557999999996,458248.8717554694
18,qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,4770.61,5047.59,5008.29,4965.99,4796.31,4881.35,4984.39,5050.3,4761.39,5315.32,3839.14,3125.37,3416.05,4054.65,3765.46,3916.77,3791.35,3860.43,3638.47,3643.39,3717.99,3517.74,4476.96,3915.48,3541.17,3490.15,3624.79,4170.82,3642.48,3557.29,3940.67,3982.5,3818.03,4206.94,4185.98,3154.16,3815.18,3829.66,3703.64,3797.26,4082.19,3592.54,3690.71,3976.3,3683.99,3893.34,3649.88,3600.57,3464.21,4412.05,4015.345800000001,297793.7764738368
19,qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,5234.53,5027.07,5055.49,5035.48,5081.42,5083.62,5045.2,4927.05,4872.6,5264.83,4508.95,4165.68,3913.97,4803.53,4124.54,4237.68,4435.86,4272.92,3849.19,4317.03,4015.78,4598.08,3909.28,4150.7,4319.67,4125.14,4229.18,4826.28,4008.38,4272.28,4176.82,4655.02,3700.76,4788.65,4147.83,4319.67,4347.29,3740.96,4623.26,4414.31,4454.54,4250.2,3896.59,4310.76,4825.54,4032.46,3582.87,4789.94,4273.68,4155.16,4423.9544,186741.06658432647
20,qdd-ifort-linux-MKL-OMP-noStatic-Debug,4907.69,5626.69,5045.21,5047.3,5010.99,5084.91,5128.12,5313.5,5148.49,5295.22,4178.78,4266.56,4162.09,4249.81,4399.03,3979.61,4033.86,4224.08,4155.88,4000.04,4233.83,3708.38,4167.64,3966.76,4509.14,4472.82,4515.27,4412.79,4716.97,4140.86,4233.0,3953.01,4470.18,4035.55,4250.35,4209.38,4210.01,4154.53,4356.32,4275.31,4423.13,4058.36,4878.98,4188.18,4636.98,4125.69,4725.51,4045.51,4056.38,4151.39,4430.8014,188666.03347759176
