noOMP-Consumption
4156.76
4545.78
4811.22
4573.95
5365.3
5414.89
4725.33
5717.91
5515.74
4766.68
5145.48
5183.9
4154.31
4446.65
4650.8
5158.56
4931.99
5028.82
4622.89
5669.3
5254.7
5280.9
4452.21
5393.12
4126.9
4186.92
4451.79
5183.77
4824.1
4905.04
4486.03
5469.86
5256.28
5397.14
4425.82
5627.0
4292.9
4323.21
4697.21
5187.66
3766.66
5124.97
4457.05
5376.36
5255.11
4915.77
4508.53
5165.23
4324.71
4798.12
4911.82
5221.29
3955.03
4900.83
4638.94
5305.15
4913.7
5088.82
4425.75
5254.24
4266.21
4648.39
4876.51
5151.94
4403.25
5376.14
4678.24
5270.27
4748.11
4979.55
4452.87
5089.28
3907.96
4236.03
4592.98
4379.32
4406.27
5727.62
4705.68
5280.42
4527.4
4987.13
4449.48
5028.39
4186.56
4586.7
4403.2
4946.48
4402.18
5222.72
4661.4
5414.75
4463.99
4484.49
4438.96
5252.89
5241.25
4527.83
4537.24
4900.59
4372.93
5320.16
4383.08
5181.51
4557.45
4799.23
4425.08
5315.89
4229.49
4532.96
4495.86
4876.43
4591.89
5224.22
4812.11
5158.5
4776.97
5125.79
4549.81
5050.51
2715.74
2718.31
2811.11
2719.01
2763.1
2718.44
2765.54
2720.93
3523.99
3549.78
2792.27
2760.21
2717.8
2718.93
2721.64
2719.42
2721.17
2717.82
2722.4
2722.29
3589.04
3518.47
2760.68
2758.7
2718.9
2717.85
2719.92
2718.27
2720.67
2718.24
2720.76
2722.09
3588.56
3535.67
2760.37
2757.51
2719.62
2716.86
2718.93
2718.83
2719.94
2718.17
2720.65
2722.6
3582.64
3516.09
3552.94
2756.13
2718.93
2718.17
2719.03
2719.44
2719.46
2718.12
2722.05
2722.13
3604.08
3537.05
2849.84
2755.95
2719.73
2718.22
2719.58
2718.88
2718.29
2719.23
2722.62
2721.33
3585.1
3582.53
2758.48
2755.95
2720.17
2718.51
2718.53
2719.51
2718.48
2717.73
2722.68
2720.52
3594.26
